asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
GOLD,SHORT,2025-08-19T16:00:00+00:00,2025-08-19T17:00:00+00:00,3361.2,2025-08-20T11:00:00+00:00,3372.7344,3372.7344,3338.1311,0.029751,1.0,-0.3432,-0.343,18.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,28.061229969674415,-3.7110296764599298,-1.8459649790597137,BEARISH,BEARISH,3377.6384484440136,8962.0,7.689625741679877,99.6568
GOLD,SHORT,2025-08-22T12:00:00+00:00,2025-08-22T13:00:00+00:00,3365.0,2025-08-22T13:00:00+00:00,3373.0356,3373.0356,3348.9289,0.029616,0.9966,-0.238,-0.239,0.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,31.901069798891896,-3.3716199814480206,-2.395041840072703,BEARISH,BEARISH,3374.7959248816387,11207.0,5.357033592297458,99.4189
GOLD,LONG,2025-08-26T01:00:00+00:00,2025-08-26T02:00:00+00:00,3424.3999,2025-08-28T08:00:00+00:00,3455.2461,3408.9768,3455.2461,0.029032,0.9942,0.8955,0.901,54.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.284729067833425,3.7995510125178953,3.7870590476124364,BULLISH,BULLISH,3413.4467700516493,9603.0,10.282054971711494,100.3144
GOLD,LONG,2025-08-28T10:00:00+00:00,2025-08-28T11:00:00+00:00,3454.5,2025-08-28T14:00:00+00:00,3470.3828,3446.5586,3470.3828,0.029039,1.0031,0.4612,0.46,3.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,63.37298031880312,5.202244268161394,4.898660189752082,BULLISH,BULLISH,3447.168027428765,4885.0,5.2942709659841665,100.7756
GOLD,LONG,2025-08-29T13:00:00+00:00,2025-08-29T14:00:00+00:00,3489.2,2025-08-29T15:00:00+00:00,3510.9118,3478.344,3510.9118,0.028882,1.0078,0.6271,0.622,1.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,72.78807393820999,4.53382723018467,4.440732714800458,BULLISH,BULLISH,3470.854974065604,16956.0,7.237270098307634,101.4027
GOLD,LONG,2025-08-29T19:00:00+00:00,2025-08-29T20:00:00+00:00,3516.0,2025-09-01T02:00:00+00:00,3541.2224,3503.3888,3541.2224,0.02884,1.014,0.7274,0.717,54.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,76.1718561378919,13.334095948556751,9.681400675184937,BULLISH,BULLISH,3489.642218392487,7344.0,8.407456377670165,102.1301
GOLD,LONG,2025-09-02T06:00:00+00:00,2025-09-02T07:00:00+00:00,3555.8,2025-09-02T08:00:00+00:00,3537.6533,3537.6533,3592.0936,0.028722,1.0213,-0.5212,-0.51,1.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,73.96174379899219,21.241851755131393,17.16962387198756,BULLISH,BULLISH,3522.0709542268223,7790.0,12.097864863090857,101.6089
GOLD,LONG,2025-09-02T10:00:00+00:00,2025-09-02T11:00:00+00:00,3555.0,2025-09-02T16:00:00+00:00,3590.2576,3537.3712,3590.2576,0.028582,1.0161,1.0077,0.992,5.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,68.74361296662173,18.488245492968417,18.24700004872999,BULLISH,BULLISH,3530.4841099572022,7544.0,11.752545615263342,102.6166
GOLD,LONG,2025-09-02T19:00:00+00:00,2025-09-02T20:00:00+00:00,3597.8,2025-09-03T16:00:00+00:00,3634.0292,3579.6855,3634.0292,0.028522,1.0262,1.0333,1.007,20.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,76.48589452453766,22.91727115093863,20.532934219061566,BULLISH,BULLISH,3560.9765345859096,8989.0,12.076379058087097,103.65
GOLD,LONG,2025-09-08T14:00:00+00:00,2025-09-08T15:00:00+00:00,3680.6001,2025-09-09T14:00:00+00:00,3714.3275,3663.7364,3714.3275,0.028161,1.0365,0.9498,0.916,23.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,75.57078503533063,11.587273277699751,8.3206684624389,BULLISH,BULLISH,3649.1869317896976,21852.0,11.242461289383142,104.5998
