asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
GOLD,SHORT,2025-08-18T13:00:00+00:00,2025-08-18T14:00:00+00:00,3382.5,2025-08-19T16:00:00+00:00,3361.7289,3392.8855,3361.7289,0.029564,1.0,0.6141,0.614,26.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,42.22240592048186,0.45274710863941436,0.8946630796318157,BEARISH,NEUTRAL,3389.6833249788256,12108.0,6.923686976023228,100.6141
GOLD,SHORT,2025-08-20T00:00:00+00:00,2025-08-20T01:00:00+00:00,3358.2,2025-08-20T05:00:00+00:00,3365.8182,3365.8182,3342.9635,0.029961,1.0061,-0.2282,-0.227,4.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,29.414804538598673,-6.661632063707657,-5.247191520363002,BEARISH,BEARISH,3368.3364562153074,4228.0,5.078825023163855,100.3858
GOLD,LONG,2025-08-20T17:00:00+00:00,2025-08-20T18:00:00+00:00,3390.2,2025-08-21T05:00:00+00:00,3380.1611,3380.1611,3410.2776,0.029611,1.0039,-0.2973,-0.296,11.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,68.76685659349944,4.980632553895248,1.8587015412935184,BULLISH,NEUTRAL,3376.797142741363,4839.0,6.692542051614576,100.0886
GOLD,LONG,2025-08-21T15:00:00+00:00,2025-08-21T16:00:00+00:00,3387.6001,2025-08-22T03:00:00+00:00,3374.9131,3374.9131,3412.9742,0.029546,1.0009,-0.3748,-0.375,11.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,56.64463749718516,1.2515978796018317,1.199608295720216,BULLISH,NEUTRAL,3382.482742671716,10616.0,8.458028423022885,99.7137
GOLD,LONG,2025-08-26T01:00:00+00:00,2025-08-26T02:00:00+00:00,3424.3999,2025-08-28T08:00:00+00:00,3455.2461,3408.9768,3455.2461,0.029119,0.9971,0.8982,0.901,54.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.284729067833425,3.7995510125178953,3.7870590476124364,BULLISH,BULLISH,3413.4467700516493,9603.0,10.282054971711494,100.6119
GOLD,LONG,2025-08-28T10:00:00+00:00,2025-08-28T11:00:00+00:00,3454.5,2025-08-28T14:00:00+00:00,3470.3828,3446.5586,3470.3828,0.029125,1.0061,0.4626,0.46,3.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,63.37298031880312,5.202244268161394,4.898660189752082,BULLISH,BULLISH,3447.168027428765,4885.0,5.2942709659841665,101.0745
GOLD,LONG,2025-08-29T13:00:00+00:00,2025-08-29T14:00:00+00:00,3489.2,2025-08-29T15:00:00+00:00,3510.9118,3478.344,3510.9118,0.028968,1.0107,0.6289,0.622,1.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,72.78807393820999,4.53382723018467,4.440732714800458,BULLISH,BULLISH,3470.854974065604,16956.0,7.237270098307634,101.7035
GOLD,LONG,2025-08-29T19:00:00+00:00,2025-08-29T20:00:00+00:00,3516.0,2025-09-01T02:00:00+00:00,3541.2224,3503.3888,3541.2224,0.028926,1.017,0.7296,0.717,54.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,76.1718561378919,13.334095948556751,9.681400675184937,BULLISH,BULLISH,3489.642218392487,7344.0,8.407456377670165,102.433
GOLD,LONG,2025-09-02T06:00:00+00:00,2025-09-02T07:00:00+00:00,3555.8,2025-09-02T08:00:00+00:00,3537.6533,3537.6533,3592.0936,0.028807,1.0243,-0.5228,-0.51,1.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,73.96174379899219,21.241851755131393,17.16962387198756,BULLISH,BULLISH,3522.0709542268223,7790.0,12.097864863090857,101.9103
GOLD,LONG,2025-09-02T10:00:00+00:00,2025-09-02T11:00:00+00:00,3555.0,2025-09-02T16:00:00+00:00,3590.2576,3537.3712,3590.2576,0.028667,1.0191,1.0107,0.992,5.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,68.74361296662173,18.488245492968417,18.24700004872999,BULLISH,BULLISH,3530.4841099572022,7544.0,11.752545615263342,102.921
GOLD,LONG,2025-09-02T19:00:00+00:00,2025-09-02T20:00:00+00:00,3597.8,2025-09-03T16:00:00+00:00,3634.0292,3579.6855,3634.0292,0.028607,1.0292,1.0364,1.007,20.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,76.48589452453766,22.91727115093863,20.532934219061566,BULLISH,BULLISH,3560.9765345859096,8989.0,12.076379058087097,103.9574
GOLD,LONG,2025-09-04T15:00:00+00:00,2025-09-04T16:00:00+00:00,3612.3,2025-09-05T13:00:00+00:00,3651.1069,3592.8966,3651.1069,0.028779,1.0396,1.1168,1.074,21.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,57.422116939213645,1.1719043413690997,0.7359721541734467,BULLISH,NEUTRAL,3604.1621567679126,11604.0,12.935609650944622,105.0742
GOLD,LONG,2025-09-08T08:00:00+00:00,2025-09-08T09:00:00+00:00,3651.2,2025-09-08T15:00:00+00:00,3684.6197,3634.4901,3684.6197,0.028778,1.0507,0.9618,0.915,6.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,63.01773307226192,5.592766640684204,5.515190642229987,BULLISH,NEUTRAL,3635.3203917608143,8957.0,11.13991616507896,106.036
GOLD,LONG,2025-09-09T01:00:00+00:00,2025-09-09T02:00:00+00:00,3687.7,2025-09-09T14:00:00+00:00,3675.0119,3675.0119,3713.076,0.028754,1.0604,-0.3648,-0.344,12.0,False,STOP_LOSS,True,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,70.92169873323607,11.706419219070085,11.667264107353295,BULLISH,BULLISH,3667.680531087469,11083.0,8.458678777020614,105.6711
GOLD,LONG,2025-09-10T10:00:00+00:00,2025-09-10T11:00:00+00:00,3694.3999,2025-09-10T12:00:00+00:00,3681.3181,3681.3181,3720.5635,0.028603,1.0567,-0.3742,-0.354,1.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,63.10501465454377,3.120079171416819,1.2523923157209684,BULLISH,NEUTRAL,3681.207972035158,6909.0,8.721214528399079,105.2969
GOLD,SHORT,2025-09-11T09:00:00+00:00,2025-09-11T10:00:00+00:00,3659.8,2025-09-11T12:00:00+00:00,3673.6261,3673.6261,3632.1478,0.028771,1.053,-0.3978,-0.378,2.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,34.83222414699749,-4.6675383903752845,-2.5662742540787318,BEARISH,NEUTRAL,3673.6680997038884,12081.0,9.217399938779774,104.8991
GOLD,LONG,2025-09-12T06:00:00+00:00,2025-09-12T07:00:00+00:00,3689.1001,2025-09-12T08:00:00+00:00,3678.806,3678.806,3709.6882,0.028435,1.049,-0.2927,-0.279,1.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,61.93743829906685,4.632651762294699,2.1156425046838954,BULLISH,NEUTRAL,3680.021507285223,6018.0,6.862703647636541,104.6064
GOLD,LONG,2025-09-15T12:00:00+00:00,2025-09-15T13:00:00+00:00,3687.6001,2025-09-15T15:00:00+00:00,3712.7009,3675.0497,3712.7009,0.028367,1.0461,0.712,0.681,2.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,56.804786486548615,0.0008371024168809527,-0.38409456206989945,BULLISH,NEUTRAL,3680.674912398747,13883.0,8.366929808100354,105.3185
GOLD,LONG,2025-09-16T00:00:00+00:00,2025-09-16T01:00:00+00:00,3725.3999,2025-09-16T02:00:00+00:00,3713.5231,3713.5231,3749.1535,0.02827,1.0532,-0.3358,-0.319,1.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,70.55395617779436,10.820212555752732,8.615436973635624,BULLISH,BULLISH,3705.0819102218616,6304.0,7.917854886974304,104.9827
GOLD,LONG,2025-09-16T06:00:00+00:00,2025-09-16T07:00:00+00:00,3730.7,2025-09-16T15:00:00+00:00,3718.6442,3718.6442,3754.8114,0.02814,1.0498,-0.3393,-0.323,8.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,69.42023953128864,9.601725207268373,9.324817937871119,BULLISH,BULLISH,3712.439618705462,8758.0,8.037161931039176,104.6435
GOLD,LONG,2025-09-17T15:00:00+00:00,2025-09-17T16:00:00+00:00,3718.8,2025-09-17T18:00:00+00:00,3705.8545,3705.8545,3744.6912,0.028139,1.0464,-0.3643,-0.348,2.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,53.39237064625995,-1.8944174238704363,-2.409202538270529,BULLISH,NEUTRAL,3714.4374704147535,7473.0,8.630395268351279,104.2792
GOLD,SHORT,2025-09-18T01:00:00+00:00,2025-09-18T02:00:00+00:00,3692.7,2025-09-19T18:00:00+00:00,3713.9343,3713.9343,3650.2312,0.028239,1.0428,-0.5996,-0.575,40.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,39.92860642138536,-5.414225796022492,-4.148230541247986,BEARISH,NEUTRAL,3705.689643168045,11601.0,14.156249957726748,103.6795
