asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
GOLD,SHORT,2025-08-19T16:00:00+00:00,2025-08-19T17:00:00+00:00,3361.2,2025-08-20T11:00:00+00:00,3372.7344,3372.7344,3338.1311,0.029751,1.0,-0.3432,-0.343,18.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,28.061229969674415,-3.7110296764599298,-1.8459649790597137,BEARISH,BEARISH,3377.6384484440136,8962.0,7.689625741679877,99.6568
GOLD,SHORT,2025-08-22T12:00:00+00:00,2025-08-22T13:00:00+00:00,3365.0,2025-08-22T13:00:00+00:00,3373.0356,3373.0356,3348.9289,0.029616,0.9966,-0.238,-0.239,0.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,31.901069798891896,-3.3716199814480206,-2.395041840072703,BEARISH,BEARISH,3374.7959248816387,11207.0,5.357033592297458,99.4189
GOLD,LONG,2025-08-25T00:00:00+00:00,2025-08-25T01:00:00+00:00,3410.2,2025-08-25T23:00:00+00:00,3399.2484,3399.2484,3432.103,0.029153,0.9942,-0.3193,-0.321,22.0,False,STOP_LOSS,False,5,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA,Volume,61.50428682028248,10.005237714799023,8.018424865523796,BULLISH,BULLISH,3400.5162416377434,3510.0,7.3010256882105455,99.0996
GOLD,LONG,2025-08-26T01:00:00+00:00,2025-08-26T02:00:00+00:00,3424.3999,2025-08-28T08:00:00+00:00,3455.2461,3408.9768,3455.2461,0.028939,0.991,0.8927,0.901,54.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.284729067833425,3.7995510125178953,3.7870590476124364,BULLISH,BULLISH,3413.4467700516493,9603.0,10.282054971711494,99.9922
GOLD,LONG,2025-08-29T13:00:00+00:00,2025-08-29T14:00:00+00:00,3489.2,2025-08-29T15:00:00+00:00,3510.9118,3478.344,3510.9118,0.028658,0.9999,0.6222,0.622,1.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,72.78807393820999,4.53382723018467,4.440732714800458,BULLISH,BULLISH,3470.854974065604,16956.0,7.237270098307634,100.6145
GOLD,LONG,2025-09-02T15:00:00+00:00,2025-09-02T16:00:00+00:00,3586.1001,2025-09-03T16:00:00+00:00,3633.3419,3562.4792,3633.3419,0.028057,1.0061,1.3255,1.317,24.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,74.23535079450613,19.318477743569474,18.126170909111227,BULLISH,BULLISH,3544.337284931216,20992.0,15.747269186840334,101.9399
GOLD,LONG,2025-09-08T14:00:00+00:00,2025-09-08T15:00:00+00:00,3680.6001,2025-09-09T14:00:00+00:00,3714.3275,3663.7364,3714.3275,0.027697,1.0194,0.9341,0.916,23.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,75.57078503533063,11.587273277699751,8.3206684624389,BULLISH,BULLISH,3649.1869317896976,21852.0,11.242461289383142,102.874
GOLD,LONG,2025-09-15T15:00:00+00:00,2025-09-15T16:00:00+00:00,3720.5,2025-09-17T07:00:00+00:00,3703.4788,3703.4788,3754.5424,0.027651,1.0287,-0.4706,-0.457,39.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,74.7451644182872,5.103379764165311,1.3717134949400198,BULLISH,BULLISH,3687.336682024505,23891.0,11.347473311145253,102.4034
GOLD,LONG,2025-09-19T18:00:00+00:00,2025-09-19T19:00:00+00:00,3717.8999,2025-09-22T06:00:00+00:00,3747.237,3703.2314,3747.237,0.027543,1.024,0.808,0.789,59.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,67.98049950701208,5.849569656829317,1.9243074529690807,BULLISH,BULLISH,3694.453047349717,8452.0,9.779023546831052,103.2114
GOLD,LONG,2025-09-23T09:00:00+00:00,2025-09-23T10:00:00+00:00,3818.6001,2025-09-23T14:00:00+00:00,3800.8408,3800.8408,3854.1188,0.027029,1.0321,-0.48,-0.465,4.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,80.07084087289604,16.92531370127017,16.145244663720725,BULLISH,BULLISH,3780.4774641012095,22471.0,11.839550966898972,102.7314
