asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
GOLD,SHORT,2025-08-18T13:00:00+00:00,2025-08-18T14:00:00+00:00,3382.5,2025-08-19T16:00:00+00:00,3361.7289,3392.8855,3361.7289,0.029564,1.0,0.6141,0.614,26.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,42.22240592048186,0.45274710863941436,0.8946630796318157,BEARISH,NEUTRAL,3389.6833249788256,12108.0,6.923686976023228,100.6141
GOLD,LONG,2025-08-20T17:00:00+00:00,2025-08-20T18:00:00+00:00,3390.2,2025-08-21T05:00:00+00:00,3380.1611,3380.1611,3410.2776,0.029678,1.0061,-0.2979,-0.296,11.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,68.76685659349944,4.980632553895248,1.8587015412935184,BULLISH,NEUTRAL,3376.797142741363,4839.0,6.692542051614576,100.3161
GOLD,LONG,2025-08-21T15:00:00+00:00,2025-08-21T16:00:00+00:00,3387.6001,2025-08-22T03:00:00+00:00,3374.9131,3374.9131,3412.9742,0.029613,1.0032,-0.3757,-0.375,11.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,56.64463749718516,1.2515978796018317,1.199608295720216,BULLISH,NEUTRAL,3382.482742671716,10616.0,8.458028423022885,99.9404
GOLD,SHORT,2025-08-22T04:00:00+00:00,2025-08-22T05:00:00+00:00,3371.3999,2025-08-22T14:00:00+00:00,3378.6121,3378.6121,3356.9756,0.029644,0.9994,-0.2138,-0.214,9.0,False,STOP_LOSS,False,4,1h Trend|RSI|MACD Momentum|Price vs MA,4h Trend|Volume,35.64250795644227,-1.4287470047729585,-0.07501103542921128,BEARISH,NEUTRAL,3380.1906461033996,1928.0,4.80811538064045,99.7267
GOLD,LONG,2025-08-24T22:00:00+00:00,2025-08-24T23:00:00+00:00,3413.1001,2025-08-25T23:00:00+00:00,3401.3883,3401.3883,3436.5238,0.029219,0.9973,-0.3422,-0.343,24.0,False,STOP_LOSS,False,4,1h Trend|RSI|MACD Momentum|Price vs MA,4h Trend|Volume,65.60312251805328,10.502738981404946,6.775750865127297,BULLISH,NEUTRAL,3397.8871528299715,1997.0,7.807890616700431,99.3844
GOLD,LONG,2025-08-26T00:00:00+00:00,2025-08-26T01:00:00+00:00,3431.3,2025-08-26T07:00:00+00:00,3416.2965,3416.2965,3461.3071,0.028964,0.9938,-0.4346,-0.437,6.0,False,STOP_LOSS,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,64.9118180812478,3.1848928513309147,3.7839360563860716,NEUTRAL,BULLISH,3412.283272162349,21823.0,10.002356097167109,98.9499
GOLD,LONG,2025-08-27T00:00:00+00:00,2025-08-27T01:00:00+00:00,3438.8,2025-08-27T04:00:00+00:00,3429.1798,3429.1798,3458.0405,0.028775,0.9895,-0.2768,-0.28,3.0,False,STOP_LOSS,False,5,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA,Volume,62.02635066741611,6.491340206875066,5.592194144983571,BULLISH,BULLISH,3430.5196944063173,3673.0,6.413480458049551,98.6731
GOLD,LONG,2025-08-28T00:00:00+00:00,2025-08-28T01:00:00+00:00,3448.2,2025-08-28T11:00:00+00:00,3465.7611,3439.4194,3465.7611,0.028616,0.9867,0.5025,0.509,10.0,True,TAKE_PROFIT,False,5,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA,Volume,62.120182115966294,5.948214390778958,4.7516146025661525,BULLISH,BULLISH,3440.8541425489334,2795.0,5.853728776198044,99.1756
GOLD,LONG,2025-08-29T07:00:00+00:00,2025-08-29T08:00:00+00:00,3471.1001,2025-08-29T10:00:00+00:00,3464.1149,3464.1149,3485.0705,0.028572,0.9918,-0.1996,-0.201,2.0,False,STOP_LOSS,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,59.83147992625576,4.874723372401149,6.450717122718695,NEUTRAL,BULLISH,3468.258355842451,5928.0,4.6567862282105175,98.976
GOLD,LONG,2025-08-29T11:00:00+00:00,2025-08-29T12:00:00+00:00,3469.8,2025-08-29T13:00:00+00:00,3484.5477,3462.4262,3484.5477,0.028525,0.9898,0.4207,0.425,1.0,True,TAKE_PROFIT,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,55.68296754025745,2.9668470636684106,4.705082620006816,NEUTRAL,BULLISH,3468.177964606891,4623.0,4.9158973433459625,99.3967
