asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
SILVER,LONG,2025-08-18T12:00:00+00:00,2025-08-18T13:00:00+00:00,38.27,2025-08-18T14:00:00+00:00,38.0718,38.0718,38.6665,2.613013,1.0,-0.518,-0.518,1.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.15694143342598,0.0445076841814398,0.028756213605757048,BULLISH,BULLISH,38.122462339322986,4037.0,0.13215735316433472,99.482
SILVER,SHORT,2025-08-18T16:00:00+00:00,2025-08-18T17:00:00+00:00,38.0,2025-08-19T12:00:00+00:00,38.1874,38.1874,37.6251,2.617948,0.9948,-0.4907,-0.493,19.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,44.112664441886785,0.009706024707746508,0.02474011931329962,BEARISH,NEUTRAL,38.10172446089361,2887.0,0.1249606241518326,98.9913
SILVER,SHORT,2025-08-19T14:00:00+00:00,2025-08-19T15:00:00+00:00,37.48,2025-08-20T08:00:00+00:00,36.9603,37.7398,36.9603,2.641177,0.9899,1.3725,1.387,17.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,25.071746438028185,-0.05390230884297864,-0.021905044648829752,BEARISH,BEARISH,37.98230675860097,11119.0,0.17322440194365138,100.3638
SILVER,LONG,2025-08-21T01:00:00+00:00,2025-08-21T02:00:00+00:00,37.89,2025-08-21T09:00:00+00:00,37.7425,37.7425,38.1851,2.648821,1.0036,-0.3908,-0.389,7.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,67.27270643136046,0.11575874346090131,0.07015671150469868,BULLISH,NEUTRAL,37.68698187688281,1833.0,0.09835975568928593,99.973
SILVER,LONG,2025-08-21T14:00:00+00:00,2025-08-21T15:00:00+00:00,38.105,2025-08-22T06:00:00+00:00,37.8712,37.8712,38.5726,2.62362,0.9997,-0.6134,-0.614,15.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,66.2958317140598,0.0800677748537666,0.06819213561727129,BULLISH,NEUTRAL,37.811400528430745,4351.0,0.15586707018700602,99.3596
SILVER,LONG,2025-08-22T14:00:00+00:00,2025-08-22T15:00:00+00:00,38.96,2025-08-25T13:00:00+00:00,38.5716,38.5716,39.7368,2.550299,0.9936,-0.9905,-0.997,70.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,79.30219586203512,0.08218928738259024,0.04194050481285255,BULLISH,BULLISH,38.05511122190757,22312.0,0.2589345390336053,98.3691
SILVER,SHORT,2025-08-27T08:00:00+00:00,2025-08-27T09:00:00+00:00,38.455,2025-08-27T09:00:00+00:00,38.1859,38.5895,38.1859,2.558031,0.9837,0.6883,0.7,0.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,40.19520281996918,-0.03999378456334313,-0.022818897547793524,BEARISH,NEUTRAL,38.56408310726372,1897.0,0.0896915104041595,99.0574
SILVER,LONG,2025-08-28T07:00:00+00:00,2025-08-28T08:00:00+00:00,39.565,2025-08-28T08:00:00+00:00,39.311,39.311,40.0731,2.503662,0.9906,-0.636,-0.642,0.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,81.12383282386381,0.15159298587340686,0.08080401593589785,BULLISH,BULLISH,38.80740782654002,11754.0,0.1693635337997636,98.4214
SILVER,LONG,2025-08-29T14:00:00+00:00,2025-08-29T15:00:00+00:00,40.025,2025-09-02T04:00:00+00:00,41.76,39.2227,41.6297,1.226662,0.9842,2.1283,2.162,85.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,73.88275032671203,0.10141588910611432,0.09654672363203617,BULLISH,BULLISH,39.58827033486621,9840.0,0.5349005387466877,100.5496
SILVER,LONG,2025-09-02T06:00:00+00:00,2025-09-02T07:00:00+00:00,41.68,2025-09-02T12:00:00+00:00,40.8459,40.8459,43.3483,1.205431,1.0055,-1.0055,-1.0,5.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,79.90715349207957,0.5200477467382498,0.42978757001567836,BULLISH,BULLISH,40.83501894713639,3120.0,0.5560921986863916,99.5441
SILVER,LONG,2025-09-03T16:00:00+00:00,2025-09-03T17:00:00+00:00,42.04,2025-09-03T19:00:00+00:00,41.3545,41.3545,43.4109,1.452213,0.9954,-0.9954,-1.0,2.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,69.69873962354706,0.15732210359706045,0.14836535986689828,BULLISH,BULLISH,41.69771321420591,3761.0,0.45697660428287723,98.5487
SILVER,LONG,2025-09-05T12:00:00+00:00,2025-09-05T13:00:00+00:00,41.93,2025-09-05T14:00:00+00:00,41.4621,41.4621,42.8659,2.106037,0.9855,-0.9855,-1.0,1.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,66.2033655884893,0.022074729745419575,-0.00649669325104019,BULLISH,NEUTRAL,41.48818564355115,14108.0,0.3119561410713543,97.5632
SILVER,LONG,2025-09-08T08:00:00+00:00,2025-09-08T09:00:00+00:00,41.84,2025-09-08T10:00:00+00:00,41.4502,41.4502,42.6196,2.331816,0.9756,-0.909,-0.932,1.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,62.78229636635588,0.019186180143378806,-0.018578795349803896,BULLISH,NEUTRAL,41.489253387913415,4457.0,0.25987500302988753,96.6542
SILVER,SHORT,2025-09-09T17:00:00+00:00,2025-09-09T18:00:00+00:00,41.295,2025-09-10T09:00:00+00:00,41.673,41.673,40.5391,2.340579,0.9665,-0.8846,-0.915,15.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,33.370906371772165,-0.11215056386365774,-0.03375486167402553,BEARISH,NEUTRAL,41.67221323982822,2381.0,0.2519734229701966,95.7696
SILVER,SHORT,2025-09-11T05:00:00+00:00,2025-09-11T06:00:00+00:00,41.355,2025-09-11T06:00:00+00:00,41.5369,41.5369,40.9911,2.315792,0.9577,-0.4213,-0.44,0.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,35.73252133022315,-0.021230155481077873,0.004439227352997698,BEARISH,NEUTRAL,41.577415763970365,2514.0,0.12128829709161482,95.3482
SILVER,LONG,2025-09-12T01:00:00+00:00,2025-09-12T02:00:00+00:00,42.66,2025-09-16T11:00:00+00:00,43.3433,42.3183,43.3433,2.235074,0.9535,1.5272,1.602,105.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,75.0177846185419,0.17293173336365442,0.1223710034172379,BULLISH,BULLISH,41.949602969459235,6783.0,0.2277671202692107,96.8755
SILVER,LONG,2025-09-16T12:00:00+00:00,2025-09-16T13:00:00+00:00,43.285,2025-09-16T14:00:00+00:00,43.0954,43.0954,43.6641,2.238084,0.9688,-0.4242,-0.438,1.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,63.02053651422355,0.11200754430978321,0.11063910525535144,BULLISH,BULLISH,43.098724322198095,3749.0,0.12636767862698026,96.4512
SILVER,SHORT,2025-09-17T05:00:00+00:00,2025-09-17T06:00:00+00:00,42.34,2025-09-17T10:00:00+00:00,41.7622,42.6289,41.7622,2.278017,0.9645,1.3161,1.365,4.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,28.082106309376442,-0.15758139979543273,-0.0835788501053077,BEARISH,NEUTRAL,42.741505603768985,3663.0,0.1925858289958667,97.7674
SILVER,SHORT,2025-09-18T06:00:00+00:00,2025-09-18T07:00:00+00:00,41.705,2025-09-18T07:00:00+00:00,42.0756,42.0756,40.9638,2.34426,0.9777,-0.8688,-0.889,0.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,36.73877730569147,-0.18918110448388603,-0.17379876806308797,BEARISH,NEUTRAL,42.01663664135264,4309.0,0.24706583726489265,96.8986
SILVER,LONG,2025-09-19T08:00:00+00:00,2025-09-19T09:00:00+00:00,42.49,2025-09-19T15:00:00+00:00,43.102,42.184,43.102,2.280504,0.969,1.3957,1.44,6.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.51083288144402,0.09444337557108184,0.05547178392496449,BULLISH,BULLISH,42.25204675411685,1767.0,0.20400866046744523,98.2943
SILVER,LONG,2025-09-22T06:00:00+00:00,2025-09-22T07:00:00+00:00,44.045,2025-09-22T12:00:00+00:00,43.634,43.634,44.867,2.23168,0.9829,-0.9172,-0.933,5.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,81.48005568671209,0.42224395554164573,0.29631229963524547,BULLISH,BULLISH,43.07310584368155,3737.0,0.273996797260452,97.3771
SILVER,LONG,2025-09-22T17:00:00+00:00,2025-09-22T18:00:00+00:00,44.33,2025-09-23T02:00:00+00:00,43.9967,43.9967,44.9965,2.196642,0.9738,-0.7321,-0.752,8.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,75.76578115583872,0.3958693715040553,0.39463363545984226,BULLISH,BULLISH,43.72718815472785,4589.0,0.2221747483557548,96.6451
