asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
SILVER,LONG,2025-08-18T12:00:00+00:00,2025-08-18T13:00:00+00:00,38.27,2025-08-18T14:00:00+00:00,38.0718,38.0718,38.6665,2.613013,1.0,-0.518,-0.518,1.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.15694143342598,0.0445076841814398,0.028756213605757048,BULLISH,BULLISH,38.122462339322986,4037.0,0.13215735316433472,99.482
SILVER,SHORT,2025-08-19T06:00:00+00:00,2025-08-19T07:00:00+00:00,37.935,2025-08-19T09:00:00+00:00,38.0973,38.0973,37.6104,2.622433,0.9948,-0.4256,-0.428,2.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,43.02021309293429,-0.044504578647853066,-0.02473358248454515,BEARISH,BEARISH,38.01551084519123,1225.0,0.10820503785848067,99.0564
SILVER,SHORT,2025-08-19T14:00:00+00:00,2025-08-19T15:00:00+00:00,37.48,2025-08-20T08:00:00+00:00,36.9603,37.7398,36.9603,2.642913,0.9906,1.3735,1.387,17.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,25.071746438028185,-0.05390230884297864,-0.021905044648829752,BEARISH,BEARISH,37.98230675860097,11119.0,0.17322440194365138,100.4298
SILVER,LONG,2025-08-22T14:00:00+00:00,2025-08-22T15:00:00+00:00,38.96,2025-08-25T13:00:00+00:00,38.5716,38.5716,39.7368,2.577767,1.0043,-1.0012,-0.997,70.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,79.30219586203512,0.08218928738259024,0.04194050481285255,BULLISH,BULLISH,38.05511122190757,22312.0,0.2589345390336053,99.4286
SILVER,LONG,2025-08-28T07:00:00+00:00,2025-08-28T08:00:00+00:00,39.565,2025-08-28T08:00:00+00:00,39.311,39.311,40.0731,2.513045,0.9943,-0.6384,-0.642,0.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,81.12383282386381,0.15159298587340686,0.08080401593589785,BULLISH,BULLISH,38.80740782654002,11754.0,0.1693635337997636,98.7902
SILVER,LONG,2025-08-29T14:00:00+00:00,2025-08-29T15:00:00+00:00,40.025,2025-09-02T04:00:00+00:00,41.76,39.2227,41.6297,1.231259,0.9879,2.1362,2.162,85.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,73.88275032671203,0.10141588910611432,0.09654672363203617,BULLISH,BULLISH,39.58827033486621,9840.0,0.5349005387466877,100.9264
SILVER,LONG,2025-09-02T06:00:00+00:00,2025-09-02T07:00:00+00:00,41.68,2025-09-02T12:00:00+00:00,40.8459,40.8459,43.3483,1.209948,1.0093,-1.0093,-1.0,5.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,79.90715349207957,0.5200477467382498,0.42978757001567836,BULLISH,BULLISH,40.83501894713639,3120.0,0.5560921986863916,99.9171
SILVER,LONG,2025-09-03T16:00:00+00:00,2025-09-03T17:00:00+00:00,42.04,2025-09-03T19:00:00+00:00,41.3545,41.3545,43.4109,1.457655,0.9992,-0.9992,-1.0,2.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,69.69873962354706,0.15732210359706045,0.14836535986689828,BULLISH,BULLISH,41.69771321420591,3761.0,0.45697660428287723,98.918
SILVER,LONG,2025-09-11T16:00:00+00:00,2025-09-11T17:00:00+00:00,42.2,2025-09-12T08:00:00+00:00,42.8632,41.8684,42.8632,2.344028,0.9892,1.5546,1.572,15.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,72.49271098981374,0.09201581560984096,0.02215099647995595,BULLISH,BULLISH,41.69575657257107,7318.0,0.22107422713206357,100.4726
SILVER,LONG,2025-09-12T11:00:00+00:00,2025-09-12T12:00:00+00:00,42.81,2025-09-12T12:00:00+00:00,42.5039,42.5039,43.4223,2.346942,1.0047,-0.7185,-0.715,0.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,67.39841813081614,0.286411947538852,0.25682528833360924,BULLISH,BULLISH,42.455328289749865,2227.0,0.20409713843438984,99.7541
SILVER,LONG,2025-09-15T15:00:00+00:00,2025-09-15T16:00:00+00:00,43.07,2025-09-16T15:00:00+00:00,42.7926,42.7926,43.6249,2.316092,0.9975,-0.6426,-0.644,23.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,68.36878870192908,0.07939444467606904,0.0663735788394888,BULLISH,BULLISH,42.72336556766165,6629.0,0.18495519837176308,99.1115
