asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
SILVER,LONG,2025-08-18T12:00:00+00:00,2025-08-18T13:00:00+00:00,38.27,2025-08-18T14:00:00+00:00,38.0718,38.0718,38.6665,2.613013,1.0,-0.518,-0.518,1.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.15694143342598,0.0445076841814398,0.028756213605757048,BULLISH,BULLISH,38.122462339322986,4037.0,0.13215735316433472,99.482
SILVER,SHORT,2025-08-18T16:00:00+00:00,2025-08-18T17:00:00+00:00,38.0,2025-08-19T12:00:00+00:00,38.1874,38.1874,37.6251,2.617948,0.9948,-0.4907,-0.493,19.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,44.112664441886785,0.009706024707746508,0.02474011931329962,BEARISH,NEUTRAL,38.10172446089361,2887.0,0.1249606241518326,98.9913
SILVER,SHORT,2025-08-19T13:00:00+00:00,2025-08-19T14:00:00+00:00,37.935,2025-08-19T14:00:00+00:00,37.5823,38.1114,37.5823,2.609498,0.9899,0.9204,0.93,0.0,True,TAKE_PROFIT,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,41.515698188295126,-0.010380522897399658,-0.013905728600292528,NEUTRAL,BEARISH,38.03570763065148,5863.0,0.11756664110235016,99.9117
SILVER,SHORT,2025-08-20T11:00:00+00:00,2025-08-20T12:00:00+00:00,37.19,2025-08-20T12:00:00+00:00,37.3645,37.3645,36.8409,2.68652,0.9991,-0.4689,-0.469,0.0,False,STOP_LOSS,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,37.81718444431713,-0.17902607481196497,-0.19474802282362597,NEUTRAL,BEARISH,37.28092378882131,2413.0,0.11636274556679244,99.4427
SILVER,LONG,2025-08-21T01:00:00+00:00,2025-08-21T02:00:00+00:00,37.89,2025-08-21T09:00:00+00:00,37.7425,37.7425,38.1851,2.624512,0.9944,-0.3872,-0.389,7.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,67.27270643136046,0.11575874346090131,0.07015671150469868,BULLISH,NEUTRAL,37.68698187688281,1833.0,0.09835975568928593,99.0555
SILVER,LONG,2025-08-21T14:00:00+00:00,2025-08-21T15:00:00+00:00,38.105,2025-08-22T06:00:00+00:00,37.8712,37.8712,38.5726,2.599542,0.9906,-0.6078,-0.614,15.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,66.2958317140598,0.0800677748537666,0.06819213561727129,BULLISH,NEUTRAL,37.811400528430745,4351.0,0.15586707018700602,98.4478
SILVER,LONG,2025-08-24T22:00:00+00:00,2025-08-24T23:00:00+00:00,38.885,2025-08-25T12:00:00+00:00,38.5932,38.5932,39.4686,2.531767,0.9845,-0.7387,-0.75,13.0,False,STOP_LOSS,False,5,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA,Volume,66.85025238161472,0.2820524475349231,0.21120589986508237,BULLISH,BULLISH,38.51717062581898,778.0,0.19452175593750232,97.709
SILVER,LONG,2025-08-26T04:00:00+00:00,2025-08-26T05:00:00+00:00,38.845,2025-08-26T07:00:00+00:00,38.6414,38.6414,39.2521,2.515357,0.9771,-0.512,-0.524,2.0,False,STOP_LOSS,False,5,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA,Volume,58.24054899050934,0.021096613073119386,0.016082527392562662,BULLISH,BULLISH,38.68651087479687,777.0,0.13570882515260266,97.197
SILVER,LONG,2025-08-27T00:00:00+00:00,2025-08-27T01:00:00+00:00,38.645,2025-08-27T04:00:00+00:00,38.4993,38.4993,38.9363,2.515125,0.972,-0.3663,-0.377,3.0,False,STOP_LOSS,False,4,1h Trend|RSI|MACD Momentum|Price vs MA,4h Trend|Volume,51.216240180283904,0.002078501851578096,-0.009247592369139837,BULLISH,NEUTRAL,38.6306835576889,430.0,0.09710334505816451,96.8307
SILVER,LONG,2025-08-28T00:00:00+00:00,2025-08-28T01:00:00+00:00,38.785,2025-08-28T07:00:00+00:00,39.0828,38.6361,39.0828,2.496601,0.9683,0.7435,0.768,6.0,True,TAKE_PROFIT,False,4,1h Trend|RSI|MACD Momentum|Price vs MA,4h Trend|Volume,60.89805927087622,0.044675431281120837,0.009378664094783174,BULLISH,NEUTRAL,38.599354630649266,43.0,0.09926595424838748,97.5741
SILVER,LONG,2025-08-29T07:00:00+00:00,2025-08-29T08:00:00+00:00,39.535,2025-09-01T01:00:00+00:00,40.9436,38.8307,40.9436,1.385364,0.9757,1.9515,2.0,65.0,True,TAKE_PROFIT,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,56.13675198683976,0.10706032435286517,0.16064912270076498,NEUTRAL,BULLISH,39.52361319532932,1686.0,0.4695474631103422,99.5256
SILVER,LONG,2025-09-02T12:00:00+00:00,2025-09-02T13:00:00+00:00,41.29,2025-09-12T08:00:00+00:00,42.8426,40.5137,42.8426,1.282012,0.9953,1.9905,2.0,235.0,True,TAKE_PROFIT,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,59.87154299138107,0.39509589491915165,0.43337123172342507,NEUTRAL,BULLISH,41.096164276115445,8980.0,0.5175490242717803,101.5161
SILVER,LONG,2025-09-15T07:00:00+00:00,2025-09-15T08:00:00+00:00,42.725,2025-09-15T12:00:00+00:00,42.5003,42.5003,43.1745,2.376036,1.0152,-0.534,-0.526,4.0,False,STOP_LOSS,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,55.07621845518167,0.08033339602707912,0.11039956845956223,NEUTRAL,BULLISH,42.66776895318551,2232.0,0.1498225911862403,100.9822
SILVER,LONG,2025-09-15T14:00:00+00:00,2025-09-15T15:00:00+00:00,42.925,2025-09-16T15:00:00+00:00,42.6637,42.6637,43.4475,2.352526,1.0098,-0.6146,-0.609,24.0,False,STOP_LOSS,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,63.77664278141662,0.05479030975246246,0.06311836238034374,NEUTRAL,BULLISH,42.68687776480243,3861.0,0.17417891071892133,100.3675
SILVER,SHORT,2025-09-17T04:00:00+00:00,2025-09-17T05:00:00+00:00,42.385,2025-09-17T10:00:00+00:00,41.8753,42.6399,41.8753,2.367996,1.0037,1.207,1.203,5.0,True,TAKE_PROFIT,False,4,1h Trend|RSI|MACD Momentum|Price vs MA,4h Trend|Volume,29.26169252371335,-0.1404460363496014,-0.06507821268277644,BEARISH,NEUTRAL,42.784295763694914,642.0,0.1699067022894015,101.5745
SILVER,SHORT,2025-09-18T04:00:00+00:00,2025-09-18T05:00:00+00:00,41.72,2025-09-18T07:00:00+00:00,42.0938,42.0938,40.9725,2.434672,1.0157,-0.91,-0.896,2.0,False,STOP_LOSS,False,4,1h Trend|RSI|MACD Momentum|Price vs MA,4h Trend|Volume,36.40957065200298,-0.171191292379973,-0.16643654601753827,BEARISH,NEUTRAL,42.08938158313655,1350.0,0.2491705638251853,100.6646
SILVER,LONG,2025-09-19T08:00:00+00:00,2025-09-19T09:00:00+00:00,42.49,2025-09-19T15:00:00+00:00,43.102,42.184,43.102,2.369135,1.0066,1.45,1.44,6.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.51083288144402,0.09444337557108184,0.05547178392496449,BULLISH,BULLISH,42.25204675411685,1767.0,0.20400866046744523,102.1145
SILVER,LONG,2025-09-23T01:00:00+00:00,2025-09-23T02:00:00+00:00,44.225,2025-09-23T02:00:00+00:00,43.9886,43.9886,44.6978,2.308978,1.0211,-0.5458,-0.535,0.0,False,STOP_LOSS,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,66.94123731909988,0.3107640415894082,0.3590735546006498,NEUTRAL,BULLISH,44.00405334735294,2437.0,0.15759999932465127,101.5687
SILVER,LONG,2025-09-23T05:00:00+00:00,2025-09-23T06:00:00+00:00,44.165,2025-09-23T11:00:00+00:00,44.6889,43.903,44.6889,2.299755,1.0157,1.2049,1.186,5.0,True,TAKE_PROFIT,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,61.309011429875206,0.22673579110436748,0.29434482750692725,NEUTRAL,BULLISH,44.05691714734015,3808.0,0.1746449129007222,102.7736
SILVER,LONG,2025-09-24T06:00:00+00:00,2025-09-24T07:00:00+00:00,44.37,2025-09-24T15:00:00+00:00,44.0746,44.0746,44.9608,2.316286,1.0277,-0.6843,-0.666,8.0,False,STOP_LOSS,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,52.4532723976739,0.05180845251508259,0.06895394423318169,NEUTRAL,BULLISH,44.34671945023214,2155.0,0.19694886447453952,102.0893
SILVER,LONG,2025-09-25T02:00:00+00:00,2025-09-25T03:00:00+00:00,44.265,2025-09-25T07:00:00+00:00,44.7661,44.0144,44.7661,2.306322,1.0209,1.1558,1.132,4.0,True,TAKE_PROFIT,False,4,1h Trend|RSI|MACD Momentum|Price vs MA,4h Trend|Volume,51.7312044071684,-0.034382577604347375,-0.0357457940105884,BULLISH,NEUTRAL,44.217492827170254,1748.0,0.16704200947829367,103.2451
SILVER,LONG,2025-09-26T06:00:00+00:00,2025-09-26T07:00:00+00:00,45.395,2025-09-26T15:00:00+00:00,46.1667,45.0092,46.1667,2.274371,1.0325,1.7551,1.7,8.0,True,TAKE_PROFIT,False,4,4h Trend|RSI|Price vs MA|Volume,1h Trend|MACD Momentum,61.96463723921172,0.14789533042862502,0.17600744900370416,NEUTRAL,BULLISH,45.0538220644815,5232.0,0.25722600206440666,105.0002
